"Dependents","MultipleLines","InternetService","Contract","tenure","MonthlyCharges","Churn","confidence(No)","confidence(Yes)","prediction(Churn)","cost"
"No","Yes","Fiber optic","Month-to-month",37.0,76.5,"Yes",0.755003330514699,0.24499666948530086,"No",0.5100066610293982
"Yes","Yes","Fiber optic","Month-to-month",27.0,85.2,"No",0.7085319062623349,0.2914680937376651,"No",0.4170638125246698
"No","No","DSL","Month-to-month",6.0,20.7,"No",0.8673003084105836,0.13269969158941633,"No",0.7346006168211673
"Yes","No","DSL","Month-to-month",7.0,50.7,"No",0.8953577964652254,0.10464220353477471,"No",0.7907155929304507
"No","No","Fiber optic","Two year",33.0,88.95,"No",0.9306103193770642,0.06938968062293571,"No",0.8612206387541285
"No","No","DSL","Month-to-month",1.0,19.75,"No",0.8360911013933255,0.16390889860667443,"No",0.6721822027866511
"No","Yes","Fiber optic","Month-to-month",13.0,85.95,"No",0.4050567530806841,0.5949432469193159,"Yes",0.18988649383863176
"No","Yes","DSL","Two year",43.0,25.7,"No",0.9581731549214778,0.041826845078522135,"No",0.9163463098429556
"Yes","Yes","DSL","Two year",72.0,88.05,"No",0.9565278537546522,0.043472146245347766,"No",0.9130557075093044
"No","Yes","DSL","Month-to-month",8.0,71.15,"Yes",0.7934699514714877,0.20653004852851228,"No",0.5869399029429754
"No","Yes","DSL","Two year",71.0,23.95,"No",0.9589935719250978,0.04100642807490231,"No",0.9179871438501955
"Yes","Yes","Fiber optic","Two year",65.0,99.05,"No",0.9454670947123452,0.05453290528765479,"No",0.8909341894246905
"Yes","No","DSL","One year",30.0,64.5,"No",0.9535811819535359,0.046418818046464104,"No",0.9071623639070718
"Yes","No","DSL","Month-to-month",15.0,69.5,"No",0.9155934619515694,0.08440653804843055,"No",0.8311869239031389
"Yes","Yes","Fiber optic","One year",70.0,108.15,"No",0.9141590032859,0.08584099671409999,"No",0.8283180065718001
"Yes","No","Fiber optic","Month-to-month",14.0,80.9,"No",0.621961123312306,0.37803887668769404,"No",0.24392224662461198
"No","Yes","Fiber optic","Month-to-month",22.0,84.15,"No",0.5394018292078501,0.4605981707921499,"No",0.0788036584157002
"Yes","No","DSL","Two year",16.0,64.25,"No",0.9548158317577777,0.0451841682422223,"No",0.9096316635155555
"No","Yes","DSL","Two year",10.0,25.7,"No",0.9551484290638831,0.044851570936117004,"No",0.9102968581277661
"No","Yes","Fiber optic","Month-to-month",20.0,82.4,"Yes",0.5277816356828583,0.47221836431714176,"No",0.05556327136571654
"No","Yes","DSL","Two year",53.0,73.9,"No",0.9522725086225611,0.0477274913774389,"No",0.9045450172451222
"No","No","DSL","Two year",69.0,19.9,"No",0.958780972342323,0.041219027657677064,"No",0.9175619446846459
"No","No","DSL","Month-to-month",58.0,45.3,"Yes",0.9204694056365296,0.07953059436347028,"No",0.8409388112730593
"No","No","Fiber optic","One year",43.0,84.25,"No",0.8993616642248111,0.10063833577518883,"No",0.7987233284496222
"No","No","Fiber optic","One year",53.0,94.85,"Yes",0.8915157079516306,0.10848429204836953,"No",0.7830314159032611
"No","No","DSL","One year",32.0,20.55,"No",0.9555244747801613,0.04447552521983864,"No",0.9110489495603227
"No","Yes","DSL","Month-to-month",34.0,24.7,"No",0.9484247864109472,0.05157521358905285,"No",0.8968495728218944
"No","No","Fiber optic","Month-to-month",7.0,76.45,"Yes",0.464734982938157,0.535265017061843,"Yes",0.07053003412368603
"Yes","Yes","Fiber optic","Month-to-month",15.0,105.35,"No",0.42661185225687365,0.5733881477431263,"Yes",0.14677629548625265
"No","No","DSL","One year",61.0,20.55,"No",0.9566845143235909,0.04331548567640908,"No",0.9133690286471818
"No","No","DSL","Month-to-month",1.0,29.95,"Yes",0.7542624492099511,0.2457375507900488,"No",0.5085248984199023
"No","Yes","Fiber optic","Month-to-month",8.0,84.5,"Yes",0.3500657325783913,0.6499342674216088,"Yes",0.29986853484321746
"Yes","No","DSL","One year",33.0,74.75,"No",0.9530046247160514,0.046995375283948516,"No",0.9060092494321029
"No","No","Fiber optic","Month-to-month",13.0,79.25,"Yes",0.5501738361194187,0.44982616388058133,"No",0.1003476722388374
"No","No","DSL","Month-to-month",1.0,24.8,"Yes",0.7968242938560354,0.20317570614396466,"No",0.5936485877120707
"Yes","Yes","DSL","One year",43.0,71.9,"No",0.9541665574535537,0.045833442546446355,"No",0.9083331149071073
"Yes","No","DSL","Two year",69.0,19.75,"No",0.9593973658522955,0.040602634147704486,"No",0.918794731704591
"No","No","Fiber optic","Month-to-month",20.0,96.55,"No",0.6047031829951409,0.3952968170048592,"No",0.20940636599028173
"No","Yes","Fiber optic","Month-to-month",59.0,111.35,"No",0.7004334272784644,0.29956657272153575,"No",0.4008668545569286
"No","No","Fiber optic","Month-to-month",14.0,80.05,"No",0.5639428899662645,0.43605711003373554,"No",0.12788577993252898
"Yes","Yes","Fiber optic","Two year",71.0,105.55,"No",0.9451467188355888,0.05485328116441118,"No",0.8902934376711775
"No","No","Fiber optic","Month-to-month",19.0,106.6,"Yes",0.587172374238842,0.4128276257611579,"No",0.17434474847768416
"No","No","DSL","Month-to-month",2.0,46.0,"Yes",0.7118911602046216,0.2881088397953785,"No",0.42378232040924313
"No","No","DSL","Month-to-month",1.0,25.25,"No",0.7931539663428498,0.20684603365715012,"No",0.5863079326856997
"Yes","No","DSL","Two year",61.0,19.75,"No",0.9593388506313509,0.04066114936864906,"No",0.9186777012627019
"Yes","No","DSL","One year",29.0,20.0,"No",0.9578346312286198,0.04216536877138022,"No",0.9156692624572396
"No","Yes","Fiber optic","Month-to-month",23.0,86.8,"No",0.5328052059557122,0.46719479404428776,"No",0.06561041191142447
"No","No","DSL","Month-to-month",57.0,58.75,"No",0.9052299860997707,0.09477001390022925,"No",0.8104599721995415
"No","No","Fiber optic","Month-to-month",4.0,70.15,"Yes",0.4538714347591147,0.5461285652408853,"Yes",0.09225713048177059
"No","No","DSL","Month-to-month",4.0,50.05,"Yes",0.7365581472923467,0.26344185270765336,"No",0.47311629458469334
"No","No","DSL","One year",12.0,19.35,"No",0.9529934398438757,0.04700656015612422,"No",0.9059868796877515
"No","No","DSL","One year",24.0,50.6,"No",0.9473231175747069,0.052676882425293135,"No",0.8946462351494138
"No","No","DSL","Month-to-month",1.0,55.2,"Yes",0.7199744163201148,0.2800255836798851,"No",0.4399488326402297
"No","No","DSL","Two year",72.0,20.25,"No",0.9588182640147483,0.04118173598525162,"No",0.9176365280294967
"No","Yes","DSL","Month-to-month",2.0,54.4,"Yes",0.7720521459989796,0.22794785400102033,"No",0.5441042919979593
"No","No","Fiber optic","Month-to-month",11.0,95.0,"Yes",0.47154555292029193,0.528454447079708,"Yes",0.05690889415941608
"No","Yes","Fiber optic","Two year",72.0,109.2,"No",0.9373754657671284,0.06262453423287155,"No",0.8747509315342569
"Yes","No","DSL","One year",41.0,74.7,"No",0.9532587002554914,0.046741299744508726,"No",0.9065174005109827
"No","No","Fiber optic","Month-to-month",65.0,94.4,"No",0.8712010359414099,0.12879896405859023,"No",0.7424020718828196
"No","No","DSL","Month-to-month",13.0,54.8,"No",0.8192548898337509,0.18074511016624906,"No",0.6385097796675019
"No","No","Fiber optic","Month-to-month",4.0,75.35,"No",0.4300997658678,0.5699002341322,"Yes",0.1398004682644
"No","Yes","DSL","One year",41.0,65.0,"No",0.9472751229697941,0.05272487703020592,"No",0.8945502459395882
"No","No","Fiber optic","Month-to-month",15.0,74.4,"Yes",0.6115429045228246,0.3884570954771754,"No",0.22308580904564917
"No","No","Fiber optic","One year",51.0,93.5,"No",0.8917052262682489,0.10829477373175117,"No",0.7834104525364978
"Yes","No","Fiber optic","Month-to-month",2.0,70.4,"Yes",0.4866746863528177,0.5133253136471824,"Yes",0.02665062729436468
"Yes","No","DSL","Two year",67.0,59.55,"No",0.9582711382272383,0.041728861772761715,"No",0.9165422764544766
"Yes","Yes","Fiber optic","Two year",61.0,115.1,"No",0.9336542966000051,0.06634570339999495,"No",0.8673085932000102
"No","Yes","Fiber optic","One year",50.0,114.35,"No",0.7935973166783685,0.20640268332163147,"No",0.587194633356737
"No","No","DSL","Month-to-month",29.0,45.0,"No",0.8886589554394955,0.11134104456050452,"No",0.7773179108789909
"No","Yes","Fiber optic","Month-to-month",13.0,106.9,"Yes",0.3461004951575004,0.6538995048424996,"Yes",0.3077990096849992
"No","Yes","Fiber optic","One year",45.0,113.3,"No",0.7854778639398573,0.2145221360601426,"No",0.5709557278797147
"No","No","Fiber optic","Month-to-month",19.0,105.0,"No",0.5861283664137867,0.4138716335862132,"No",0.17225673282757353
"No","No","DSL","Two year",59.0,19.35,"Yes",0.9586064189848935,0.04139358101510646,"No",0.917212837969787
"No","No","Fiber optic","Month-to-month",16.0,94.45,"Yes",0.5427452481352505,0.45725475186474945,"No",0.08549049627050104
"No","No","DSL","Month-to-month",1.0,24.8,"Yes",0.7968242938560354,0.20317570614396466,"No",0.5936485877120707
"No","Yes","Fiber optic","Month-to-month",20.0,107.05,"No",0.41499660736840793,0.5850033926315921,"Yes",0.17000678526318413
"No","No","Fiber optic","Month-to-month",1.0,70.6,"Yes",0.41546647579485224,0.5845335242051478,"Yes",0.16906704841029557
"No","Yes","Fiber optic","Month-to-month",52.0,105.05,"Yes",0.6907134256238567,0.3092865743761433,"No",0.3814268512477134
"No","No","DSL","Month-to-month",21.0,64.95,"No",0.8743217127223666,0.1256782872776334,"No",0.7486434254447332
"No","No","DSL","Month-to-month",14.0,55.0,"No",0.8257668697321255,0.17423313026787443,"No",0.6515337394642511
"No","No","DSL","Month-to-month",6.0,55.15,"No",0.7657051084551479,0.23429489154485206,"No",0.5314102169102959
"Yes","No","Fiber optic","Month-to-month",18.0,95.15,"Yes",0.6546000039977368,0.3453999960022631,"No",0.30920000799547365
"No","Yes","Fiber optic","One year",22.0,76.0,"No",0.8663929545253727,0.13360704547462732,"No",0.7327859090507454
"No","No","Fiber optic","Month-to-month",8.0,74.5,"Yes",0.4901070034665643,0.5098929965334357,"Yes",0.0197859930668714
"No","Yes","Fiber optic","Month-to-month",24.0,76.1,"Yes",0.6308727928435142,0.3691272071564859,"No",0.26174558568702827
"No","No","DSL","One year",35.0,61.2,"No",0.9451649000420804,0.054835099957919665,"No",0.8903298000841607
"Yes","No","Fiber optic","One year",23.0,86.8,"No",0.8986253043560005,0.10137469564399933,"No",0.7972506087120012
"Yes","Yes","DSL","Month-to-month",40.0,74.55,"No",0.9433862871816587,0.05661371281834129,"No",0.8867725743633175
"Yes","No","Fiber optic","Month-to-month",1.0,73.6,"Yes",0.457420869035784,0.542579130964216,"Yes",0.08515826192843196
"No","No","DSL","One year",23.0,64.9,"No",0.9436626770146955,0.05633732298530464,"No",0.8873253540293908
"No","No","Fiber optic","Month-to-month",4.0,90.4,"No",0.4008152705360108,0.5991847294639893,"Yes",0.19836945892797847
"Yes","No","DSL","Two year",68.0,60.3,"No",0.9582622841085319,0.041737715891468075,"No",0.9165245682170637
"Yes","No","DSL","Two year",29.0,75.55,"No",0.9556232422003642,0.04437675779963568,"No",0.9112464844007285
"Yes","Yes","Fiber optic","One year",51.0,110.05,"No",0.8911838764677148,0.10881612353228508,"No",0.7823677529354297
"Yes","No","DSL","One year",38.0,80.3,"Yes",0.9528497140859744,0.04715028591402561,"No",0.9056994281719488
"No","No","Fiber optic","Month-to-month",24.0,93.15,"Yes",0.6644559518158963,0.33554404818410366,"No",0.3289119036317927
"No","Yes","DSL","One year",54.0,82.45,"Yes",0.9433806324791303,0.05661936752086962,"No",0.8867612649582607
"No","No","Fiber optic","Month-to-month",11.0,82.9,"No",0.4950854398433468,0.5049145601566531,"Yes",0.00982912031330635
"No","Yes","Fiber optic","Month-to-month",17.0,82.65,"No",0.48456570419384315,0.5154342958061569,"Yes",0.0308685916123137
"No","No","Fiber optic","Month-to-month",36.0,94.8,"No",0.7591279028173741,0.24087209718262592,"No",0.5182558056347482
"No","Yes","Fiber optic","Month-to-month",63.0,103.4,"Yes",0.7602278528617212,0.23977214713827869,"No",0.5204557057234426
"No","Yes","DSL","Two year",71.0,85.75,"No",0.9527894617476437,0.04721053825235635,"No",0.9055789234952873
"Yes","Yes","DSL","Month-to-month",66.0,67.45,"No",0.9462889604924233,0.053711039507576774,"No",0.8925779209848466
"No","No","Fiber optic","Month-to-month",2.0,90.4,"Yes",0.3861736845023927,0.6138263154976072,"Yes",0.22765263099521454
"No","No","DSL","Two year",70.0,19.45,"No",0.9588160437614649,0.04118395623853514,"No",0.9176320875229298
"No","No","Fiber optic","One year",64.0,97.0,"No",0.9033184130125352,0.09668158698746471,"No",0.8066368260250705
"Yes","No","DSL","One year",17.0,44.6,"No",0.9542559885137702,0.04574401148622984,"No",0.9085119770275404
"No","No","Fiber optic","Month-to-month",7.0,89.15,"No",0.42773053834664093,0.5722694616533591,"Yes",0.1445389233067182
"No","No","DSL","Month-to-month",21.0,41.9,"Yes",0.8594590202776994,0.14054097972230054,"No",0.7189180405553989
"No","Yes","DSL","Month-to-month",16.0,54.1,"No",0.8742089505653171,0.12579104943468292,"No",0.7484179011306342
"Yes","Yes","Fiber optic","One year",42.0,97.1,"No",0.8993439733061025,0.1006560266938974,"No",0.7986879466122051
"No","No","Fiber optic","Two year",41.0,98.8,"No",0.9316909332271021,0.06830906677289782,"No",0.8633818664542042
"Yes","Yes","Fiber optic","Two year",72.0,112.6,"No",0.9422227601938452,0.057777239806154866,"No",0.8844455203876903
"No","Yes","Fiber optic","Month-to-month",2.0,85.65,"Yes",0.29229328436950636,0.7077067156304936,"Yes",0.41541343126098723
"No","No","Fiber optic","Month-to-month",37.0,96.1,"No",0.7629527955499763,0.2370472044500238,"No",0.5259055910999525
"No","Yes","DSL","One year",43.0,85.1,"No",0.9423668909305681,0.0576331090694317,"No",0.8847337818611365
"No","Yes","Fiber optic","One year",17.0,86.75,"No",0.7639888597591304,0.23601114024086964,"No",0.5279777195182608
"No","No","DSL","Month-to-month",1.0,50.65,"Yes",0.7100925820602383,0.28990741793976155,"No",0.42018516412047674
"No","Yes","Fiber optic","Month-to-month",55.0,85.45,"Yes",0.8154010077849683,0.18459899221503176,"No",0.6308020155699365
"No","Yes","Fiber optic","Month-to-month",33.0,109.9,"No",0.5325680239018034,0.46743197609819664,"No",0.06513604780360671
"No","No","DSL","Month-to-month",33.0,54.6,"No",0.8940435627520458,0.1059564372479544,"No",0.7880871255040913
"No","No","DSL","One year",11.0,20.05,"No",0.952560748485726,0.04743925151427397,"No",0.905121496971452
"No","No","DSL","Two year",72.0,19.8,"No",0.9588353197292901,0.041164680270709963,"No",0.9176706394585802
"No","No","DSL","Month-to-month",1.0,19.9,"Yes",0.8349640882999377,0.1650359117000624,"No",0.6699281765998754
"No","Yes","DSL","One year",46.0,24.45,"No",0.9571949720087587,0.0428050279912414,"No",0.9143899440175173
"No","Yes","DSL","One year",68.0,58.25,"No",0.9520636816174965,0.047936318382503375,"No",0.9041273632349932
"Yes","No","DSL","Month-to-month",61.0,19.4,"Yes",0.9545519144410625,0.04544808555893757,"No",0.9091038288821249
"Yes","No","DSL","Two year",72.0,65.2,"No",0.9581494089814409,0.04185059101855922,"No",0.9162988179628816
"No","No","DSL","Two year",41.0,19.75,"No",0.9580076575926948,0.04199234240730528,"No",0.9160153151853895
"No","No","DSL","Month-to-month",26.0,44.45,"No",0.8793740495221499,0.12062595047784998,"No",0.7587480990443
"Yes","Yes","Fiber optic","Two year",72.0,114.05,"No",0.9414612922642179,0.05853870773578205,"No",0.8829225845284359
"Yes","Yes","Fiber optic","Month-to-month",16.0,112.95,"No",0.414660461005908,0.585339538994092,"Yes",0.170679077988184
"No","Yes","Fiber optic","Month-to-month",49.0,101.55,"No",0.6878877177674608,0.31211228223253923,"No",0.3757754355349216
"No","Yes","Fiber optic","One year",54.0,114.65,"No",0.8005830495526425,0.19941695044735744,"No",0.6011660991052851
"No","Yes","Fiber optic","Month-to-month",60.0,105.9,"Yes",0.730602595981395,0.269397404018605,"No",0.46120519196279
"No","No","DSL","Month-to-month",60.0,60.2,"No",0.9064257158960537,0.09357428410394626,"No",0.8128514317921074
"Yes","No","Fiber optic","Month-to-month",28.0,81.05,"Yes",0.7787851935277682,0.22121480647223182,"No",0.5575703870555364
"No","Yes","DSL","Two year",61.0,24.4,"No",0.9587631114135761,0.041236888586423937,"No",0.9175262228271521
"No","Yes","Fiber optic","Month-to-month",24.0,104.15,"No",0.4647797189611144,0.5352202810388855,"Yes",0.07044056207777111
"Yes","No","Fiber optic","One year",28.0,92.9,"No",0.8988972353804718,0.10110276461952811,"No",0.7977944707609437
"Yes","No","DSL","Two year",30.0,80.8,"No",0.9554167702375792,0.04458322976242076,"No",0.9108335404751584
"No","No","DSL","Month-to-month",2.0,20.0,"No",0.8425373921114344,0.15746260788856553,"No",0.6850747842228688
"No","Yes","Fiber optic","Month-to-month",1.0,75.1,"No",0.3219557987565653,0.6780442012434347,"Yes",0.35608840248686935
"No","No","DSL","Month-to-month",24.0,69.45,"No",0.8878563458798053,0.11214365412019467,"No",0.7757126917596107
"No","Yes","Fiber optic","Two year",72.0,116.05,"No",0.9329565091462938,0.06704349085370627,"No",0.8659130182925875
"No","No","DSL","Two year",70.0,40.05,"No",0.9576529000570052,0.04234709994299496,"No",0.9153058001140102
"No","Yes","Fiber optic","Two year",64.0,102.1,"No",0.9361629453612935,0.0638370546387066,"No",0.8723258907225869
"Yes","Yes","Fiber optic","One year",72.0,89.7,"No",0.9346976742809298,0.06530232571907023,"No",0.8693953485618595
"Yes","No","DSL","Two year",44.0,19.9,"No",0.9591316831541167,0.040868316845883323,"No",0.9182633663082334
"No","No","DSL","One year",17.0,20.65,"No",0.9538953214881422,0.04610467851185782,"No",0.9077906429762843
"No","No","DSL","Month-to-month",24.0,53.6,"No",0.8723193766000441,0.12768062339995592,"No",0.7446387532000882
"Yes","No","DSL","Month-to-month",35.0,76.05,"No",0.9363377234014584,0.0636622765985415,"No",0.8726754468029169
"Yes","No","DSL","Month-to-month",7.0,75.7,"No",0.9014321620285398,0.09856783797146011,"No",0.8028643240570797
"No","No","Fiber optic","Month-to-month",5.0,96.1,"Yes",0.40989773174454286,0.5901022682554572,"Yes",0.18020453651091434
"Yes","No","Fiber optic","Month-to-month",8.0,83.55,"Yes",0.5222246906780275,0.47777530932197254,"No",0.04444938135605492
"No","Yes","DSL","Two year",72.0,88.6,"No",0.9526215114293296,0.04737848857067042,"No",0.9052430228586592
"Yes","No","DSL","Two year",0.0,52.55,"No",0.9518844909948125,0.04811550900518743,"No",0.9037689819896251
"No","No","DSL","Month-to-month",2.0,59.0,"No",0.7386493147809196,0.2613506852190806,"No",0.47729862956183894
"No","No","DSL","Month-to-month",1.0,20.4,"No",0.8312464295807126,0.16875357041928737,"No",0.6624928591614252
"No","No","DSL","One year",22.0,43.75,"Yes",0.948917001517489,0.05108299848251104,"No",0.897834003034978
"No","No","DSL","Month-to-month",5.0,28.45,"Yes",0.8065173903125501,0.19348260968744999,"No",0.6130347806251001
"No","Yes","Fiber optic","One year",34.0,116.25,"No",0.7552052065523145,0.2447947934476856,"No",0.5104104131046289
"Yes","No","Fiber optic","Month-to-month",52.0,84.05,"No",0.8798995368207772,0.1201004631792229,"No",0.7597990736415543
"No","No","Fiber optic","Month-to-month",2.0,94.2,"Yes",0.3861680405770585,0.6138319594229414,"Yes",0.22766391884588294
"Yes","Yes","Fiber optic","Month-to-month",6.0,80.5,"Yes",0.41974309244898045,0.5802569075510196,"Yes",0.1605138151020391
"No","No","DSL","Month-to-month",1.0,19.85,"No",0.8353406883934958,0.16465931160650418,"No",0.6706813767869917
"No","Yes","Fiber optic","Month-to-month",61.0,106.45,"No",0.733983228576354,0.26601677142364594,"No",0.46796645715270807
"No","Yes","Fiber optic","Month-to-month",56.0,105.45,"No",0.7096273128290652,0.29037268717093473,"No",0.4192546256581305
"No","Yes","Fiber optic","Month-to-month",40.0,104.8,"Yes",0.6035275584820493,0.39647244151795075,"No",0.20705511696409856
"No","No","DSL","Month-to-month",12.0,20.05,"No",0.9011168050365294,0.09888319496347063,"No",0.8022336100730587
"Yes","Yes","Fiber optic","One year",67.0,105.4,"No",0.9142001197728796,0.08579988022712054,"No",0.828400239545759
"Yes","Yes","Fiber optic","Month-to-month",55.0,85.5,"No",0.8729227455411167,0.1270772544588833,"No",0.7458454910822334
"No","Yes","Fiber optic","Month-to-month",34.0,100.05,"Yes",0.5657272082222725,0.43427279177772754,"No",0.13145441644454497
"No","No","Fiber optic","One year",52.0,91.25,"No",0.8970478746765158,0.10295212532348426,"No",0.7940957493530315
"Yes","No","DSL","Two year",24.0,21.1,"No",0.9586065168366383,0.04139348316336183,"No",0.9172130336732764
"No","Yes","Fiber optic","Month-to-month",1.0,85.0,"Yes",0.2868843467385727,0.7131156532614273,"Yes",0.4262313065228546
"Yes","No","DSL","One year",33.0,58.45,"No",0.9542757871724544,0.0457242128275455,"No",0.908551574344909
"No","No","Fiber optic","One year",69.0,95.65,"No",0.9117583686826111,0.08824163131738888,"No",0.8235167373652221
"Yes","Yes","Fiber optic","Two year",72.0,113.1,"No",0.9419641448062989,0.05803585519370117,"No",0.8839282896125977
"No","Yes","Fiber optic","Month-to-month",10.0,86.05,"Yes",0.36674709782439385,0.6332529021756061,"Yes",0.2665058043512123
"No","No","DSL","Month-to-month",13.0,45.55,"Yes",0.8074934945109161,0.19250650548908388,"No",0.6149869890218322
"Yes","No","Fiber optic","One year",34.0,78.95,"No",0.9212646773273798,0.07873532267262014,"No",0.8425293546547596
"Yes","No","Fiber optic","Month-to-month",39.0,86.3,"Yes",0.8278054548973862,0.1721945451026137,"No",0.6556109097947725
"No","Yes","Fiber optic","One year",65.0,105.05,"No",0.8398495225390404,0.16015047746095962,"No",0.6796990450780809
"Yes","Yes","Fiber optic","Two year",72.0,110.3,"No",0.9433705644671435,0.056629435532856376,"No",0.8867411289342871
"No","Yes","Fiber optic","Month-to-month",32.0,80.35,"Yes",0.6740269545794427,0.3259730454205573,"No",0.34805390915888545
"Yes","Yes","DSL","One year",56.0,68.75,"No",0.9548823759588002,0.04511762404119968,"No",0.9097647519176005
"No","No","DSL","Month-to-month",1.0,19.9,"No",0.8349640882999377,0.1650359117000624,"No",0.6699281765998754
"No","No","DSL","Month-to-month",1.0,49.3,"No",0.7076141985842868,0.29238580141571324,"No",0.4152283971685735
"No","Yes","Fiber optic","One year",56.0,107.25,"No",0.8117916960906532,0.18820830390934676,"No",0.6235833921813064
"No","Yes","DSL","Month-to-month",3.0,23.6,"No",0.8956082641382214,0.10439173586177862,"No",0.7912165282764427
